[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\proyecto\sistema_ventas\apps\compra\__init__.py first seen with mtime 1581702102.55167
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\files\move.py first seen with mtime 1581700701.4244175
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\template\__init__.py first seen with mtime 1581700701.9462905
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\apps\registry.py first seen with mtime 1581700691.5090718
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\asyncio\log.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1581700700.4499998
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1581700693.8904285
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\forms\formsets.py first seen with mtime 1581700701.7973692
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pkg_resources\extern\__init__.py first seen with mtime 1581700547.770951
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\pivot\record.py first seen with mtime 1581707264.7530775
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1581700702.0566888
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\chart\print_settings.py first seen with mtime 1581707264.482046
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\distutils\dep_util.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\drawing\image.py first seen with mtime 1581707264.6470187
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\chart\line_chart.py first seen with mtime 1581707264.4660492
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1581700697.0733502
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\odf\office.py first seen with mtime 1581707272.1633055
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\asyncio\subprocess.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\fractions.py first seen with mtime 1540060730.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\codecs.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\asyncio\futures.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\subprocess.py first seen with mtime 1540060734.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1581700701.3347397
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\xml\__init__.py first seen with mtime 1540060736.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\heapq.py first seen with mtime 1540060730.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1581700702.0375164
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\csv.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pkg_resources\_vendor\packaging\__init__.py first seen with mtime 1581700547.7497783
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1581700701.3434997
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\token.py first seen with mtime 1540060736.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\drawing\xdr.py first seen with mtime 1581707264.6783838
